_id,year,patcnty,agegrp,count
1,2008,Alameda,Total Births,20470
2,2008,Alameda,Older Mothers (35 years old or older),4714
3,2008,Alameda,Teen Mothers (15 years old to 19 years old),1319
4,2008,Alameda,Typical Aged Mothers (20 years old to 34 years old),14422
5,2008,Butte,Total Births,2464
6,2008,Butte,Older Mothers (35 years old or older),254
7,2008,Butte,Teen Mothers (15 years old to 19 years old),278
8,2008,Butte,Typical Aged Mothers (20 years old to 34 years old),1928
9,2008,Calaveras,Total Births,353
10,2008,Calaveras,Older Mothers (35 years old or older),41
11,2008,Calaveras,Teen Mothers (15 years old to 19 years old),29
12,2008,Calaveras,Typical Aged Mothers (20 years old to 34 years old),283
13,2008,Colusa,Total Births,365
14,2008,Colusa,Older Mothers (35 years old or older),44
15,2008,Colusa,Teen Mothers (15 years old to 19 years old),45
16,2008,Colusa,Typical Aged Mothers (20 years old to 34 years old),276
17,2008,Contra Costa,Total Births,12705
18,2008,Contra Costa,Older Mothers (35 years old or older),2745
19,2008,Contra Costa,Teen Mothers (15 years old to 19 years old),823
20,2008,Contra Costa,Typical Aged Mothers (20 years old to 34 years old),9131
21,2008,Del Norte,Total Births,300
22,2008,Del Norte,Older Mothers (35 years old or older),11
23,2008,Del Norte,Teen Mothers (15 years old to 19 years old),41
24,2008,Del Norte,Typical Aged Mothers (20 years old to 34 years old),247
25,2008,El Dorado,Total Births,1728
26,2008,El Dorado,Older Mothers (35 years old or older),333
27,2008,El Dorado,Teen Mothers (15 years old to 19 years old),110
28,2008,El Dorado,Typical Aged Mothers (20 years old to 34 years old),1285
29,2008,Fresno,Total Births,16517
30,2008,Fresno,Older Mothers (35 years old or older),1803
31,2008,Fresno,Teen Mothers (15 years old to 19 years old),2239
32,2008,Fresno,Typical Aged Mothers (20 years old to 34 years old),12440
33,2008,Glenn,Total Births,462
34,2008,Glenn,Older Mothers (35 years old or older),53
35,2008,Glenn,Teen Mothers (15 years old to 19 years old),54
36,2008,Glenn,Typical Aged Mothers (20 years old to 34 years old),355
37,2008,Humboldt,Total Births,1510
38,2008,Humboldt,Older Mothers (35 years old or older),179
